motion,type,variant,frames,expression
acting_cute,action,126_0_default,126,default
affirm,action,101_0_joy,101,joy
affirm,action,81_0_default,81,default
affirm,action,81_0_default1,81,default1
affirm,action,81_0_default2,81,default2
arms_crossed,action,126_0_default,126,default
arms_open,action,126_0_disgust,126,disgust
cheek_rest,action,101_0_default,101,default
cheek_rest,action,101_0_embarrassed,101,embarrassed
chin_pinch,action,81_0_wonder,81,wonder
chin_rest,action,76_0_wonder,76,wonder
chin_rest,action,81_0_default,81,default
clap,action,126_0_joy,126,joy
cold,action,101_0_default,101,default
dance,action,101_0_default,101,default
dance,action,101_0_joy,101,joy
dance,action,126_0_default,126,default
dance,action,126_0_default1,126,default1
dance,action,126_0_default2,126,default2
dance,action,81_0_default,81,default
dance,action,81_0_default1,81,default1
dance,action,81_0_default2,81,default2
dance,action,81_0_joy,81,joy
dance,action,81_0_joy1,81,joy1
disdain,action,101_0_disgust,101,disgust
eye_roll,action,101_0_default,101,default
eye_rub,action,76_0_default,76,default
face_rest,action,101_0_embarrassed,101,embarrassed
finger_on_chin,action,101_0_wonder,101,wonder
fists_up,action,101_0_default,101,default
glance_down,action,76_0_disgust,76,disgust
half_squat,action,101_0_default,101,default
half_squat,action,101_0_default1,101,default1
hand_on_chin,action,81_0_wonder,81,wonder
hands_behind_back,action,76_0_default,76,default
hands_behind_back,action,76_0_default1,76,default1
hands_behind_back,action,76_0_default2,76,default2
hands_cover_face,action,81_0_joy,81,joy
hands_on_chin,action,101_0_default,101,default
hands_on_chin,action,101_0_surprised,101,surprised
hands_on_hips,action,76_0_default,76,default
hands_on_hips,action,76_0_default1,76,default1
hands_on_hips,action,76_0_default2,76,default2
hands_on_hips,action,76_0_default3,76,default3
hands_on_hips,action,76_0_default4,76,default4
hands_on_hips,action,76_0_default5,76,default5
hands_on_hips,action,76_0_joy,76,joy
hands_on_hips,action,76_0_joy1,76,joy1
hands_on_hips,action,81_0_angry,81,angry
hands_on_hips,action,81_0_default,81,default
hands_on_hips,action,81_0_default1,81,default1
hands_raise,action,126_0_sad,126,sad
hands_up,action,76_0_joy,76,joy
head_shake,action,101_0_default,101,default
head_shake,action,126_0_angry,126,angry
head_shake,action,76_0_disgust,76,disgust
head_shake,action,81_0_default,81,default
head_tilt,action,51_0_disgust,51,disgust
head_tilt,action,76_0_default,76,default
head_tilt,action,76_0_wonder,76,wonder
head_tilt,action,81_0_default,81,default
head_tilt,action,81_0_default1,81,default1
idle,idle,101_0_default,101,default
idle,idle,101_0_default1,101,default1
idle,idle,101_0_default10,101,default10
idle,idle,101_0_default11,101,default11
idle,idle,101_0_default12,101,default12
idle,idle,101_0_default13,101,default13
idle,idle,101_0_default14,101,default14
idle,idle,101_0_default2,101,default2
idle,idle,101_0_default3,101,default3
idle,idle,101_0_default4,101,default4
idle,idle,101_0_default5,101,default5
idle,idle,101_0_default6,101,default6
idle,idle,101_0_default7,101,default7
idle,idle,101_0_default8,101,default8
idle,idle,101_0_default9,101,default9
idle,idle,102_0_default,102,default
idle,idle,126_0_default,126,default
idle,idle,126_0_default1,126,default1
idle,idle,126_0_default2,126,default2
idle,idle,126_0_default3,126,default3
idle,idle,126_0_default4,126,default4
idle,idle,126_0_default5,126,default5
idle,idle,51_0_default,51,default
idle,idle,76_0_default,76,default
idle,idle,76_0_default1,76,default1
idle,idle,76_0_default2,76,default2
idle,idle,77_0_default,77,default
idle,idle,81_0_default,81,default
idle,idle,81_0_default1,81,default1
idle,idle,81_0_default2,81,default2
idle,idle,81_0_default3,81,default3
idle,idle,81_0_default4,81,default4
idle,idle,81_0_default5,81,default5
idle,idle,81_0_default6,81,default6
idle,idle,81_0_default7,81,default7
idle,idle,81_0_default8,81,default8
idle,idle,81_0_default9,81,default9
idle_filler,filler,26_0_default,26,default
idle_filler,filler,51_0_default,51,default
idle_filler,filler,51_0_default1,51,default1
idle_filler,filler,51_0_default2,51,default2
idle_filler,filler,76_0_default,76,default
idle_loop,idle,101_0_default,101,default
idle_loop,idle,81_0_default,81,default
leg_raise,action,76_0_default,76,default
look_around,action,101_0_default,101,default
look_left_panic,action,101_0_default,101,default
look_right,action,101_0_default,101,default
nod,reaction,51_0_default,51,default
nod,reaction,76_0_default,76,default
nod,reaction,76_0_default1,76,default1
peace_sign,action,76_0_default,76,default
peace_sign,action,76_0_default1,76,default1
peace_sign,action,76_0_default2,76,default2
peace_sign,action,76_0_default3,76,default3
peace_sign,action,76_0_joy,76,joy
point_camera,action,81_0_angry,81,angry
point_camera,action,81_0_default,81,default
point_camera,action,81_0_default1,81,default1
pointing,action,76_0_angry,76,angry
pointing,action,76_0_default,76,default
pointing,action,76_0_default1,76,default1
pointing,action,81_0_default,81,default
praying,action,76_0_default,76,default
praying,action,76_0_default1,76,default1
praying,action,76_0_default2,76,default2
praying,action,81_0_default,81,default
praying,action,81_0_joy,81,joy
praying,action,81_0_joy1,81,joy1
praying,action,81_0_joy2,81,joy2
shrugging,action,126_0_default,126,default
shrugging,action,126_0_default1,126,default1
shrugging,action,126_0_default2,126,default2
shrugging,action,81_0_default,81,default
shush,action,76_0_default,76,default
shush,action,76_0_default1,76,default1
stop,action,101_0_default,101,default
stretch,action,126_0_default,126,default
stretch,action,126_0_default1,126,default1
thinking,action,101_0_default,101,default
thinking,action,81_0_default,81,default
wave,action,101_0_default,101,default
wave,action,101_0_default1,101,default1
wave,action,101_0_joy,101,joy
wave,action,101_0_joy1,101,joy1
wave,action,126_0_default,126,default
wave,action,126_0_default1,126,default1
wave,action,126_0_default2,126,default2
wave,action,126_0_joy,126,joy
wave,action,126_0_joy1,126,joy1
wave,action,51_0_default,51,default
wave,action,51_0_joy,51,joy
wave,action,76_0_joy,76,joy
wave,action,81_0_default,81,default
wave,action,81_0_default1,81,default1
wave,action,81_0_default2,81,default2
wave,action,81_0_default3,81,default3
wave,action,81_0_default4,81,default4
wave,action,81_0_default5,81,default5
wave,action,81_0_default6,81,default6
wave,action,81_0_default7,81,default7
